nodeID,nodeLabel,communityID
726,2489595718,60
727,2108874189,7
728,2918719678,17
729,2198708087,80
730,1998659196,5
731,2164741112,2
732,1799954128,13
733,2006566246,10
734,2114384152,10
735,2078240099,50
736,2106701967,46
737,2259354463,53
738,2122583708,38
739,2757224263,73
740,2233481465,20
741,2897587214,32
742,2960978270,33
743,3200431448,50
744,2115374759,34
745,2424410271,65
746,2471804519,38
747,2309823071,33
748,2938296414,56
749,2167748913,24
750,277607691,8
751,3191867779,13
752,317104616,84
753,2152164245,4
754,1496364235,5
755,2095608201,14
756,2889392223,26
757,2083427124,86
758,2117972297,10
759,2016060182,2
760,2049781481,79
761,2136176899,60
762,2126783313,50
763,2940012745,75
764,2082655599,60
765,2902155317,45
766,2317940653,5
767,2314343004,60
768,2345320337,13
769,1960485765,85
770,2102026979,15
771,2096995042,33
772,2013376358,75
773,2893232974,60
774,272904951,30
775,2607477445,10
776,2665064561,17
777,2406128591,80
778,2803549364,22
779,1346095166,75
780,2788708879,13
781,2192413840,30
782,268670442,81
783,2087481309,27
784,2240993880,85
785,1938858120,84
786,2745958997,38
787,2157890105,21
788,1967775094,45
789,2301649142,78
790,2492550022,20
791,2413244054,8
792,2169417973,30
793,2489038878,67
794,2192289422,34
795,3212956791,85
796,694062268,33
